MIDInoteNum	note nom !2	note num !3	règle accord !29	nb voix !5	avecEtouffoir !6	déviation accord voix +-Hz !8	dureté du marteau !11	stereoXSource !26	stereoYSource !27	AttackWAVfile !17	AttackWAVvolume dB !18	DecayTime !19	SustainVolume dB !20	SustainTimeT60 !21	ReleaseTimeT60 !22	ReleaseWAVfile !23	ReleaseWAVvolume dB !25	fréq coupure filtre amortissement fréquentiel !32	puissance filtre amortissement fréquentiel en dB !33	inharmonicité coef B !15	inharmonicité fréq P1 !31	liste amplitudes réelles des partiels dB !24
Section	Instrument																					
InstrNom	Bosendorfer 290 Imperial																					
VersionDate	V1 251227																					
InstrDescription	From samples GRANDIOSO Bosendorfer 290, 2002 PMI Amsterdam created by Michiel Post																					
Auteur	Ing Vincent GACOUGNOLLE																					
InstrType	piano																					
Diapason	440Hz@M69																					
GeneralMIDI	6																					
PedaleSoftVolume	-6dB																					
PedaleUnaCorda	1																					
PitchbendRange	2																					
DelaiNoteOff	0.1																					
NiveauCouplageMecanique	-22dB																					
Section	Clavier																					
1	PedaleForte	1001			1					pianoSalamanderGrandPianoV3-pedalForteD1.wav	-48				0,8	pianoSalamanderGrandPianoV3-pedalU1.wav	-64					
2	PedaleUnacorda	1002			=					pianoSalamanderGrandPianoV3-pedalU1.wav	-64				=	=	=					
3	PedaleSostenuto	1003			=					=	=				=	=	=					
17	F0	-3	N12P4P2	1	1		5	-0,7	1,5	pianoMarteauBasse.wav	-9	2,411	-18,8	48,9		pianoSalamanderGrandPianoV3-rel1.wav	-30	602	-6	0,000224	21,47	-26 -17,2 -10,1 -3,1 -2,4 -14,1 -11,4 -16,4 -13,1 -2 0 -2,3 -6,2 -4,9 -7,9 -16,9 -20,9 -10 -7,5 -7,6 -25,3 -4,3 -14,3 -26,9 -18,3 -7,5 -8,3 -8,4 -16 -29,8 -27,3 -15,7 -14,2 -13,2 -16,9 -14,9 -27 -33,7 -34,9 -19,2 -23,8 -19,8 -24,9 -25 -21,2 -21,2 -12,5 -15 -23,5 -32,1 -22,7 -22 -13,8 -16,6 -25,1 -30,9 -29,6 -31,6 -20,1 -19,7 -37,3 -29,6 -23 -30,5 -26 -39,1 -34,7 -45,5 -36,7 -28,3 -29,8 -33 -42,3 -47,7 -34,7 -40,4 -39,5 -37,5 -39,9 -42,2 -36,1 -36 -45,4 -40 -53,1 -46,7 -37,6 -53,4 -55,1 -61,5 -49,9 -55,8 -52,1 -56,6 -51,2 -53,9 -65,7 -63,9 -50,2 -63,4 
18	F#0	-2	=	=	=		=	=	=	=	=	=	=	=		=	=	=	=	=	=	=
19	G0	-1	=	=	=		=	=	=	=	=	3,156	-21,3	=		=	=	800	=	0,000105	24,35	-24 -13,6 0 -6,2 -10,7 -8,5 -6 -18,1 -10,1 -6,9 -7 -15,1 -6,1 -16,3 -11 -15,2 -29,5 -15,3 -21,3 -13,2 -3,2 -3,3 -6,3 -13,3 -16 -19,7 -15,8 -20,4 -17,5 -9,3 -18,7 -37,5 -34,8 -20,1 -13,5 -18 -19,4 -25,6 -23,8 -30,3 -40,7 -26,6 -16,3 -11,4 -18,8 -21,6 -21,8 -21,4 -29,4 -25,1 -29 -27,1 -22,2 -15,7 -30,2 -24,9 -28 -21,6 -25,9 -30,6 -27,4 -37,9 -61 -27,6 -27,8 -24,8 -28,6 -31,6 -33,1 -35,4 -28 -18,2 -31,5 -10,2 -26,2 -41,2 -46 -54,3 -44,5 -35,2 -31,8 -32,3 -39,1 -44,3 -45,2 -40,3 -45,1 -34,7 -37,9 -56,8 -44,1 -43,5 -50,8 -28,3 -38,5 -43,4 -43,7 -54,5 -57,3 -50,1 
20	G#0	0	=	=	=		=	=	=	=	=	=	=	=		=	=	=	=	=	=	=
21	A0	1	=	=	=		=	=	=	=	=	2,944	-16,5	43	0,8	=	=	=	=	0,000187	27,28	-25,2 -11 -7,3 -5,2 -8,7 0 -11,7 -17,8 -22,3 -12,8 -13,9 -13,5 -5,7 -9,7 -25,6 -19,8 -37,5 -26,7 -10,1 -11,9 -10,8 -17,9 -25,1 -34,1 -16,6 -23,5 -28,4 -25,3 -21,3 -13,9 -26,2 -54,5 -26,5 -27,4 -25,6 -17,1 -29,9 -45,1 -26 -22,2 -22,4 -16,4 -32,4 -19,6 -40 -33,9 -28,5 -27,2 -33,1 -27,7 -36,5 -45,3 -38,8 -25,3 -27,5 -31,5 -35,8 -46,1 -38,1 -37,1 -29 -26,3 -34,8 -37 -33,8 -44,5 -39,6 -31,9 -41,5 -42,8 -60,6 -47,2 -34,8 -36,4 -41,6 -47,6 -52,8 -52,2 -53,7 -36,4 -48,4 -50,9 -53,1 -54,3 -40,1 -53 -55,8 -61 -58,3 -60,5 -60,8 -56,4 -57,1 -57,6 -64,5 -59,5 -65,2 -67 -56,5 -52,9 
22	A#0	2	=	=	=		=	-0,67	1,49	=	=	=	=	=	=	=	=	=	=	=	=	=
23	B0	3	=	=	=		=	-0,65	1,48	=	=	2,967	-14,8	39,089	=	=	=	=	=	0,000143	30,58	-25,6 -10,8 0 -5,4 -4,4 -3,6 -2 -18,6 -14,7 -10 -9,8 -3,4 -3,3 -3 -6,4 -26,2 -16,1 -9 -9,7 -9,9 -13,3 -20 -14,7 -12,4 -23,3 -24 -18,3 -10,5 -19,3 -16,8 -22 -40,2 -27,5 -16,4 -28 -11,4 -9,3 -19 -26,9 -27 -11,3 -12,2 -11,6 -28,1 -27,5 -27,8 -24,9 -19 -19,8 -16,4 -21,7 -26,5 -48,9 -38,1 -27,5 -28,6 -22,8 -29,6 -28,3 -38,7 -40,1 -23,1 -30 -34,5 -36,3 -20,5 -31,8 -20,8 -25,6 -32,6 -46,8 -35,4 -46,8 -28,4 -36 -34,6 -37,2 -48,8 -47,9 -33,4 -42,2 -37,9 -39,1 -48,6 -50 -35,9 -40,8 -46,4 -45,9 -51 -54,2 -59,4 -51,2 -52 -50,3 -43,6 -51,9 -65,8 -56 -57,6 
24	C1	4	=	=	=		=	-0,64	=	=	=	2,878	-15,8	34,63	0,77	=	=	=	=	0,000112	32,5	-26,7 -15,1 -7,7 -11,7 0 -7,6 -9,5 -28 -29,4 -10,7 -4,4 -12,6 -11,6 -13,3 -17,5 -18,4 -27,4 -15 -15,2 -24,8 -15,4 -21,5 -16,7 -21,7 -30,3 -26,3 -21,6 -19,7 -11,7 -24,6 -23 -37,2 -33,1 -27,4 -30,1 -16,2 -13,3 -18,7 -18,5 -33,8 -23,3 -22,5 -30,6 -25,1 -24,4 -30,6 -38,9 -31,3 -26,5 -27,4 -33 -37,3 -38,6 -42,5 -31,5 -39,8 -33,3 -36,3 -33,1 -38,6 -29,1 -50,7 -37,2 -31,1 -35,6 -41,9 -33,1 -48,7 -45,4 -29,9 -36,9 -40,1 -41,7 -46,9 -50,3 -58,9 -49,5 -33,4 -39,8 -42,2 -45,7 -49 -58,7 -49,5 -55 -49,7 -48 -53,3 -60,5 -55,9 -43,2 -52,6 -56,6 -53,3 -54,6 -70,7 -71,8 -65,4 -60,6 -61,4 
25	C#1	5	=	=	=		=	-0,62	1,47	=	=	=	=	=	=	=	=	=	=	=	=	=
