MIDInoteNum	note nom !2	note num !3	règle accord !29	nb voix !5	avecEtouffoir !6	position de frappe >= 2 !7	déviation accord voix +-Hz !8	nb partiels !10	dureté du marteau !11	fréq coupure filtre TH passe bas !13	puissance filtre TH passe bas en dB !14	stereoXSource !26	stereoYSource !27	AttackWAVfile !17	AttackWAVvolume dB !18	DecayTime !19	SustainVolume dB !20	SustainTimeT60 !21	ReleaseTimeT60 !22	ReleaseWAVfile !23	ReleaseWAVvolume dB !25	fréq coupure filtre amortissement fréquentiel !32	puissance filtre amortissement fréquentiel en dB !33	inharmonicité coef B !15
Section	Instrument																							
InstrNom	Grand Piano Virtuel SN1																							
VersionDate	V1 250827																							
InstrDescription	Grand Piano Virtuel ViGAPhone																							
Auteur	Ing Vincent GACOUGNOLLE																							
InstrType	piano																							
Diapason	440Hz@M69																							
GeneralMIDI	6																							
PedaleSoftVolume	-3dB																							
PedaleUnaCorda	1																							
PitchbendRange	2																							
DelaiNoteOff	0.1																							
NiveauCouplageMecanique	-33dB																							
Section	Clavier																							
1	PedaleForte	1001			1									pianoPedaleForteBas.wav	-12					pianoPedaleHaut.wav	-18		0,8	
2	PedaleUnacorda	1002			=									pianoPedaleBas.wav	-18					=	=		=	
3	PedaleSostenuto	1003			=									=	=					=	=		=	
21	La -1	1	N12P4P2	1	1	12,32		99	5	1200	-0,2	-0,6	1	pianoMarteauBasse.wav	-6	3,155	-16,7	25	0,8	pianoTombeeDeMarteau+touche.wav	-18	1201	-6	0,00027
22	La# -1	2	=	=	=	12,22		=	=	1200	-0,3	-0,57	0,99	=	=	1,615	-13,2	24,44	0,791	=	=	=	=	0,000255
23	Si -1	3	=	=	=	12,18		=	=	1200	=	-0,56	0,98	=	=	1,27	-10	24,16	0,783	=	=	=	=	0,000265
24	Do 0	4	=	=	=	12,13		=	=	1200	-0,4	-0,55	0,97	=	=	1,25	-9,5	23,88	0,774	=	=	=	=	0,000298
