MIDInoteNum	note nom !2	note num !3	règle accord !29	nb voix !5	avecEtouffoir !6	déviation accord voix +-Hz !8	dureté du marteau !11	stereoXSource !26	stereoYSource !27	AttackWAVfile !17	AttackWAVvolume dB !18	DecayTime !19	SustainVolume dB !20	SustainTimeT60 !21	ReleaseTimeT60 !22	ReleaseWAVfile !23	ReleaseWAVvolume dB !25	fréq coupure filtre amortissement fréquentiel !32	puissance filtre amortissement fréquentiel en dB !33	inharmonicité coef B !15	inharmonicité fréq P1 !31	liste amplitudes réelles des partiels dB !24
Section	Instrument																					
InstrNom	Yamaha C5																					
VersionDate	V3 250826																					
InstrDescription	"Grand Piano Yamaha C5																					
Salamander Grand Piano V2 Recorded @ 48khz24bit																						
Licence: CC-by http://creativecommons.org/licenses/by/3.0/																						
Author: Alexander Holm"																						
Auteur	Ing Vincent GACOUGNOLLE																					
InstrType	piano																					
Diapason	440Hz@M69																					
GeneralMIDI	6																					
PedaleSoftVolume	-6dB																					
PedaleUnaCorda	1																					
PitchbendRange	2																					
DelaiNoteOff	0.1																					
NiveauCouplageMecanique	-22dB																					
Section	Clavier																					
1	PedaleForte	1001			1					pianoSalamanderGrandPianoV3-pedalForteD1.wav	-48				0,8	pianoSalamanderGrandPianoV3-pedalU1.wav	-72					
2	PedaleUnacorda	1002			=					pianoSalamanderGrandPianoV3-pedalU1.wav	-72				=	=	=					
3	PedaleSostenuto	1003			=					=	=				=	=	=					
21	A0	1	N12P4P2	1	1		5	-0,7	1,5	pianoMarteauBasse.wav	-6	7,02	-23,6	39,089	0,8	pianoSalamanderGrandPianoV3-rel1.wav	-33	1201	-6	0,000337	27,1	-20 -10,5 0 -2,8 -2,9 -7 -14 -28,6 -23,2 -18 -27,2 -15 -7,9 -15,8 -17,1 -42,4 -45,6 -25,5 -15,8 -7,3 -6,6 -10,4 -14,6 -32,8 -30,3 -27,3 -27,8 -23,5 -20,8 -25,3 -23,3 -30,3 -37,8 -38 -32,3 -23,3 -25,6 -23,3 -21,4 -22,9 -31,1 -28 -26,1 -30,1 -26,8 -35,9 -30,6 -37,7 -15,4 -31,1 -22,3 -35,6 -32,8 -38,1 -52,2 -41,3 -39,9 -35,1 -39,1 -40,1 -46 -51,8 -53,9 -43,5 -34,6 -46,2 -47,4 -58,8 -53,6 -55,7 -66,3 -52,6 -44,2 -60,8 -64,4 -55,9 -55,3 -66,1 -80,5 -69,4 -73,1 -71,2 -73,7 -76,9 -71,9 -74,4 -71,6 -73 -76 
