MIDInoteNum	note nom !2	note num !3	règle accord !29	nb voix !5	avecEtouffoir !6	déviation accord voix +-Hz !8	dureté du marteau !11	stereoXSource !26	stereoYSource !27	AttackWAVfile !17	AttackWAVvolume dB !18	DecayTime !19	SustainVolume dB !20	SustainTimeT60 !21	ReleaseTimeT60 !22	ReleaseWAVfile !23	ReleaseWAVvolume dB !25	fréq coupure filtre amortissement fréquentiel !32	puissance filtre amortissement fréquentiel en dB !33	inharmonicité coef B !15	inharmonicité fréq P1 !31	liste amplitudes réelles des partiels dB !24
Section	Instrument																					
InstrNom	GP-Schimmel-155-SN196510																					
VersionDate	V3 250618																					
InstrDescription	Grand Piano Schimmel-155 1980 SN196510																					
Auteur	Ing Vincent GACOUGNOLLE																					
InstrType	piano																					
Diapason	440Hz@M69																					
GeneralMIDI	6																					
PedaleSoftVolume	-6dB																					
PedaleUnaCorda	1																					
PitchbendRange	2																					
DelaiNoteOff	0.1																					
NiveauCouplageMecanique	-20dB																					
Section	Clavier																					
1	PedaleForte	1001			1					pianoPedaleForteBas.wav	-12				0,8	pianoPedaleHaut.wav	-18					
2	PedaleUnacorda	1002			=					pianoPedaleBas.wav	-18				=	=	=					
3	PedaleSostenuto	1003			=					=	=				=	=	=					
21	La -1	1	N12P2P1	1	1		5	-0,6	1	pianoMarteauBasse.wav	-6	2,16	-18,6	35	0,8	pianoTombeeDeMarteau+touche.wav	-18	650	-8	0,000774	27,1	-21,7 -12,7 -8,6 0 -0,1 -5 -5,5 -12,9 -27,7 -12,4 -12,4 -14,3 -16,4 -10 -14,9 -15,6 -26,3 -24,5 -18,6 -10,2 -11,5 -10,6 -3,7 -8,3 -12,1 -22,3 -10,5 -34,2 -19,2 -20 -20,2 -29 -24,1 -31,4 -33 -28,3 -27,2 -30,9 -36,5 -48,4 -46,3 -53,4 -43,8 -42,7 -47,4 -39,9 -48,6 -55,9 -61,9 -57,2 -56,4 -53,2 -62,4 -70,6 -75,5 -73,2 -74,6 -71,7 -76,1 -77,9 -70,4 -70,8 -77,3 -80,3 -78,9 -75,8 -82,1 -80,7 -92,4 -70,9 
22	La# -1	2	=	=	=		=	-0,57	0,99	=	=	1,74	-17,4	33,41	0,791	=	=	640	-6	0,000732	28,61	-17 -9,5 -6,7 0 -11,2 -9,1 -4 -5,4 -17,5 -14,6 -11,8 -17,3 -3,9 -13,5 -19,7 -8,6 -14,5 -28,2 -14,3 -20,1 -2,5 -4,4 -2,8 -12 -18,7 -18,4 -12,2 -18,4 -26,3 -17,4 -13,9 -22,6 -25,2 -40,7 -19,1 -33,1 -30,9 -30,9 -26,3 -38,3 -50,9 -42,8 -29,4 -38,7 -39,2 -47 -44,3 -50,5 -41,7 -43,8 -47,8 -59,4 -58,7 -60 -48,7 -63,7 -67,1 -58,2 -55,9 -63,7 -56,7 -61 -57,9 -66,5 -59,8 -75,3 -71,2 -81,3 -80,7 -73,2 -64 -74,8 
